index,image,question,reference_answer,model_answer,type,source
0,data/clip_images/0001.jpg,"这是什么形状？什么颜色？",*红色的方块*,"这是一个**正方形**，颜色是**红色**。  从图像来看，它是一个四边相等、四角为直角的几何图形，符合正方形的定义。颜色是纯正的红色，没有其他色调或渐变。",color_shape,synthetic
1,data/clip_images/0011.jpg,"这是什么形状？什么颜色？",*绿色的方块*,"这是一个**正方形**，颜色是**绿色**。  - **形状**：四条边相等、四个角都是直角，符合正方形的定义。 - **颜色**：整个图形呈现为鲜艳的绿色，边缘有一圈稍深的绿色边框，可能是为了突出轮廓。  简单来说，这是一个绿色的正方形。",color_shape,synthetic
2,data/clip_images/0024.jpg,"这是什么形状？什么颜色？",*紫色的方块*,"这是一个**正方形**，颜色是**紫色**。  - **形状**：四条边长度相等，四个角都是直角，符合正方形的定义。 - **颜色**：整体呈现为纯紫色，边缘有一圈略浅的紫色边框，可能是为了视觉效果或设计风格。  简洁来说：**紫色正方形**。",color_shape,synthetic
3,data/clip_images/0057.jpg,"这是什么形状？什么颜色？",*黄色的圆形*,"这是一个**圆形**，颜色是**黄色**。  简单来说：   ✅ 形状：圆   ✅ 颜色：黄  它是一个纯色的圆形，背景是浅灰色，对比鲜明。",color_shape,synthetic
4,data/clip_images/0089.jpg,"这是什么形状？什么颜色？",*绿色的三角形*,"这是一个**三角形**，颜色是**绿色**。  从图像来看，它是一个等腰或等边的三角形，颜色为鲜艳的绿色，背景为浅灰色。",color_shape,synthetic
5,data/clip_images/狗1.png,"这是什么？",*狗*,"这是一只可爱的小狗幼犬。  它有着棕色和白色的毛发，大大的黑眼睛，圆圆的鼻子，耳朵软软地垂着，看起来非常萌。它正坐着，直视镜头，表情天真无邪，非常讨人喜欢。  从它的体型和毛色来看，可能是一只柯基犬（Corgi）或类似品种的幼犬。它看起来健康、活泼，是许多人心目中的“萌宠”代表。",object,real
6,data/clip_images/狗2.png,"这是什么？",*狗*,"这是一只白色的比熊犬（Bichon Frise）。  从图片中可以看到： - 它毛发蓬松、洁白，是比熊犬标志性的“云朵”般毛发。 - 它的表情非常可爱，嘴巴微张，舌头伸出，看起来很活泼、开心。 - 它脖子上系着一条蓝色底、带有黄色圆点图案的领巾（或项圈），增添了几分俏皮感。 - 背景是浅灰色，光线柔和，是典型的宠物摄影风格。  比熊犬是一种小型犬种，性格温顺、活泼，常",object,real
7,data/clip_images/狗3.png,"这是什么？",*狗*,"这是一张哈士奇（西伯利亚雪橇犬）的照片。  图中是一只毛色为黑白灰相间的哈士奇，它正抬头看向镜头，眼睛明亮，嘴巴微张，露出舌头，表情看起来非常友好和活泼。它戴着一个黑色的项圈，背景是模糊的户外环境，似乎有草地和白色的小花，整体画面给人一种自然、温馨的感觉。",object,real
8,data/clip_images/猫1.png,"这是什么？",*猫*,"这张图片展示了一只虎斑猫（或称条纹猫），它正对着镜头，眼神专注而警觉。猫的毛色是典型的虎斑纹，带有深浅不一的棕色、黑色条纹，脸部和身体都有清晰的条纹图案。它的眼睛大而圆，呈黄绿色，瞳孔呈竖线状，显得非常有神。背景是纯白色，突出了猫的轮廓和细节。  在图片的右上角有一个黑色的圆形图标，图标内有四个小圆点呈十字形排列，这通常是相机或拍摄应用的“对焦模式",object,real
9,data/clip_images/猫2.png,"这是什么？",*猫*,"这是一只非常可爱的小猫！  从图片来看，它是一只幼猫，毛色主要是白色，身上有灰色或黑色的虎斑纹，尤其是耳朵和背部。它的眼睛又大又圆，瞳孔是黑色的，显得特别无辜和呆萌。它的鼻子是粉红色的，嘴巴周围和下巴也是白色的，整体看起来非常柔软、毛茸茸。  小猫正坐着，抬头望着镜头，表情非常可爱，让人忍不住想抱抱它。  这是一张非常典型的“萌猫”照片，常被用来表达可爱、治愈的感觉。",object,real
10,data/clip_images/猫3.png,"这是什么？",*猫*,"这是一只小猫的照片。  它是一只橘白相间的小猫，毛茸茸的，眼睛大而圆，瞳孔是黑色的，正直视镜头，表情显得非常可爱和无辜。它趴在柔软的白色毛毯上，背景是柔和的浅棕色，整体画面温馨、治愈。  小猫是哺乳动物，通常作为宠物饲养，非常受欢迎。这只小猫看起来很年轻，可能是刚出生不久或几个月大的幼猫。",object,real
11,data/clip_images/0004.jpg,"这是什么颜色？",*红色*,"这是**红色**。  具体来说，它是一种鲜艳、饱和度高的红色，常被称为“纯红”或“亮红”。在色彩学中，它属于**原色**之一（与蓝色、黄色并列），在RGB色彩模型中，这种红色通常表示为：  - **RGB**: (255, 0, 0) —— 红色通道满量，绿色和蓝色为0。 - **HEX**: #FF0000 —— 也是网页和数字设计中最常用的纯红色代码。  这种颜色常用于警示、停止、紧急信号、品牌",color_shape,synthetic
12,data/clip_images/0012.jpg,"这是什么颜色？",*绿色*,"这是**绿色**。  更具体地说，它是一种**鲜艳、饱和度高的绿色**，在视觉上非常醒目。这种颜色常被称为“**亮绿色**”或“**翠绿色**”，在色彩学中属于**绿光谱**，接近于“**RGB(0, 255, 0)**”（如果用RGB表示的话）。  它可能被用于：  - 交通信号灯（如“安全”或“通行”信号） - 环保或自然主题设计 - 电子屏幕或数字界面中的“确认”或“成功”按钮  如果你",color_shape,synthetic
13,data/clip_images/0023.jpg,"这是什么颜色？",*紫色*,"这是一种**紫色**，更具体地说，是**紫罗兰色（Violet）**或**深紫罗兰色（Deep Violet）**。  从视觉上看：  - 它是一种**饱和度较高**的紫色，带有一些**蓝紫调**，但又不完全像传统蓝紫色那样冷峻。 - 与“紫罗兰”（Violet）相近，常用于描述优雅、高贵、神秘的色调。 - 在色彩系统中，它可能接近 **#8A2BE2**（标准紫罗兰色）或 **#9932CC**（",color_shape,synthetic
14,data/clip_images/0059.jpg,"这是什么颜色？",*黄色*,"这是一个**黄色**的圆形。  具体来说，它是一种**明亮、饱和度高的黄色**，在视觉上非常醒目，常用于警示、注意或吸引注意力的场合。  在色彩科学中，这种颜色可以被描述为：  - **色相（Hue）**：黄色（Yellow） - **饱和度（Saturation）**：高（High） - **明度（Brightness）**：高（High）  这种颜色在中文中常被称为“**柠檬黄**”或“**荧光黄**”，是纯正、明亮的黄色，与日光或太阳光的色调",color_shape,synthetic
15,data/clip_images/0025.jpg,"这是什么颜色？",*粉色*,"这是一个**粉红色**（Pink）。  具体来说，它是一种柔和、明亮的浅红色调，属于暖色系，常用于表达可爱、温柔、甜美或青春的感觉。在色彩学中，粉红色通常被归类为**红色的变种**，其色值可能接近 #FFB6C1（浅粉红）或 #FF69B4（玫瑰粉红），但具体取决于图像的精确色调。  由于图像中颜色较为均匀，没有明显的渐变或纹理，它呈现的是一个纯正、饱和度适中的粉红色块。  **总结**：这是",color_shape,synthetic
